n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.4635416666666667,0.5,0.01,0.5,0,0.7804878048780488,extra
41,1.0,0.0,20261011,0.3358974358974359,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.3188405797101449,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.3994252873563218,0.8304597701149425,1.0,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.583732057416268,0.6746411483253589,0.01,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4285714285714285,0.6071428571428571,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.7116402116402116,0.8518518518518517,1.0,1.0,6,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5686274509803921,0.821078431372549,1.0,1.0,6,0.4146341463414634,extra
41,1.0,0.0,20261011,0.48500000000000004,0.7975,1.0,1.0,4,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4425,0.7475,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.5714285714285714,0.7698412698412698,0.1,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.614010989010989,0.7472527472527473,0.1,0.5,1,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6058201058201058,0.865079365079365,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.6120689655172413,0.8074712643678161,1.0,1.0,5,0.7073170731707317,extra
41,1.0,0.0,20261011,0.3390804597701149,0.793103448275862,0.1,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.44138755980861244,0.736842105263158,1.0,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.4574175824175824,0.6538461538461539,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5023923444976077,0.7655502392344499,1.0,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.30625,0.5,0.01,0.5,0,0.6097560975609756,extra
41,1.0,0.0,20261011,0.5674603174603174,0.6613756613756614,0.01,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.39215686274509803,0.5,0.01,0.5,0,0.5853658536585366,extra
41,1.0,0.0,20261011,0.4679487179487179,0.8051282051282052,1.0,0.5,8,0.6341463414634146,extra
41,1.0,0.0,20261011,0.39828431372549017,0.6397058823529411,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.40967741935483876,0.8225806451612904,1.0,0.5,7,0.7560975609756098,extra
41,1.0,0.0,20261011,0.46135265700483086,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.6025,0.8225,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.5265700483091788,0.7898550724637682,0.1,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.37169312169312163,0.7407407407407408,1.0,1.0,5,0.6585365853658537,extra
41,1.0,0.0,20261011,0.39952153110047844,0.5,0.01,0.5,0,0.5365853658536586,extra
41,1.0,0.0,20261011,0.41874999999999996,0.7075,0.1,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.6648351648351647,0.7417582417582418,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.43236714975845403,0.6328502415458936,0.01,0.0,9,0.43902439024390244,extra
41,1.0,0.0,20261011,0.5632183908045978,0.7988505747126438,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.6321839080459769,0.7873563218390804,0.1,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.49587912087912084,0.7582417582417582,1.0,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4725274725274725,0.6703296703296704,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4551282051282052,0.6794871794871795,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.4363636363636363,0.8151515151515152,1.0,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4818840579710144,0.6739130434782608,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.6091954022988506,0.7988505747126435,1.0,1.0,3,0.7073170731707317,extra
41,1.0,0.0,20261011,0.38756613756613756,0.761904761904762,1.0,0.5,7,0.6585365853658537,extra
41,1.0,0.0,20261011,0.7465277777777778,0.9513888888888888,1.0,0.0,9,0.7804878048780488,extra
41,1.0,0.0,20261011,0.5692307692307692,0.7294871794871796,0.1,0.5,2,0.6341463414634146,extra
41,1.0,0.0,20261011,0.41935483870967744,0.5,0.01,0.5,0,0.7560975609756098,extra
41,1.0,0.0,20261011,0.4367816091954023,0.735632183908046,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.37435897435897436,0.6692307692307692,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.5169082125603864,0.8478260869565217,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.4019138755980861,0.7535885167464114,1.0,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.5122549019607844,0.8431372549019608,1.0,1.0,6,0.5853658536585366,extra
41,1.0,0.0,20261011,0.41507177033492826,0.645933014354067,0.01,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.6121212121212122,0.8075757575757575,0.1,0.5,2,0.7317073170731707,extra
41,1.0,0.0,20261011,0.5191387559808612,0.784688995215311,0.1,0.0,9,0.5365853658536586,extra
41,1.0,0.0,20261011,0.5748792270531401,0.6859903381642511,0.01,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.42121212121212115,0.7545454545454545,1.0,1.0,4,0.7317073170731707,extra
41,1.0,0.0,20261011,0.4601648351648351,0.8214285714285714,1.0,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.5343915343915344,0.8201058201058201,1.0,1.0,8,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4761904761904762,0.7523809523809524,0.1,0.0,9,0.4878048780487805,extra
41,1.0,0.0,20261011,0.5717703349282296,0.777511961722488,1.0,1.0,5,0.5365853658536586,extra
41,1.0,0.0,20261011,0.632183908045977,0.8591954022988505,1.0,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.456896551724138,0.8304597701149425,1.0,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.42241379310344823,0.7298850574712643,0.01,0.0,9,0.7073170731707317,extra
41,1.0,0.0,20261011,0.47878787878787876,0.8393939393939395,1.0,0.5,6,0.7317073170731707,extra
