n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.4371980676328502,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.6691176470588236,0.6911764705882353,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.26724137931034486,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.6400966183574879,0.8164251207729468,1.0,1.0,5,0.5609756097560976,copula
41,-1.0,0.0,-1,0.46875,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.38095238095238093,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4621212121212121,0.5,0.01,0.5,0,0.8048780487804879,copula
41,-1.0,0.0,-1,0.4576719576719577,0.6719576719576721,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.47916666666666663,0.6421568627450981,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.51625,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4828042328042328,0.671957671957672,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.345,0.8125,1.0,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4087301587301587,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.2967032967032967,0.7527472527472527,1.0,1.0,5,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4761904761904761,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.47844827586206895,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.7128205128205128,0.7948717948717949,0.1,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4065934065934066,0.7554945054945055,0.1,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.52125,0.675,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.48484848484848486,0.5,0.01,0.5,0,0.7317073170731707,copula
41,-1.0,0.0,-1,0.39625,0.77,0.1,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5075000000000001,0.69,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5675,0.8525,1.0,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4705128205128205,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.36401098901098905,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.7615384615384615,0.8717948717948719,1.0,0.0,9,0.6341463414634146,copula
