n,tau,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana,auc_q25,auc_q75,resub_gap_medio
300,0.9,0.8,500,0.5637589741981637,1.0,0.9923753814690964,0.9999999999999999,0.6928351641871067,0.67063125,0.7158066137282562,0.025545982997267274
300,1.0,0.0,500,0.5735000436071864,0.05,0.03409350665098192,0.07276865002683111,0.4917543473644165,0.4666090352753869,0.5211651053615585,0.07136425377540574
300,1.0,0.2,500,0.5735000436071864,0.182,0.15064591449727432,0.21820334288838023,0.530231348394814,0.49271302564387565,0.563532378101222,0.06364177653636234
300,1.0,0.35,500,0.5735000436071864,0.53,0.4861897883462646,0.5733527345418813,0.5767695220598781,0.541794051302165,0.6046718189340653,0.05023848062553226
300,1.0,0.5,500,0.5735000436071864,0.864,0.8311642695066905,0.8912850082028119,0.6178344568594489,0.5919030682925857,0.6451578360323904,0.03713856151640718
300,1.0,0.8,500,0.5735000436071864,0.998,0.9887590072528046,0.9996468726904154,0.6957579427636504,0.6732277033825473,0.7176969594594594,0.024450054208552844
500,0.5,0.0,500,0.550341295897826,0.05,0.03409350665098192,0.07276865002683111,0.4949145510040077,0.478110935536045,0.5137239600392777,0.05334059413695179
500,0.5,0.2,500,0.550341295897826,0.318,0.2786995689688668,0.360075792176382,0.5335154973537248,0.5042927083333334,0.5580151041666667,0.04702908064482671
500,0.5,0.35,500,0.550341295897826,0.754,0.7144070676180768,0.7897196261682243,0.5749493117721256,0.5506559057085816,0.5985180112333324,0.03609888985735728
500,0.5,0.5,500,0.550341295897826,0.992,0.9796126401630988,0.9968847352024922,0.6195081967213115,0.6008831788003662,0.639134058205937,0.025672288339995627
500,0.5,0.8,500,0.550341295897826,1.0,0.9923753814690964,0.9999999999999999,0.6932198700497152,0.6763449856119657,0.7118699470053715,0.018117984827592075
500,0.9,0.0,500,0.5549449863896105,0.05,0.03409350665098192,0.07276865002683111,0.49409613497938043,0.4728235479797979,0.5147384102852853,0.05539285609019346
500,0.9,0.2,500,0.5549449863896105,0.304,0.2653013836201453,0.3456874668439688,0.5378764896692758,0.5085620382063798,0.5609045217847989,0.047368856482312365
500,0.9,0.35,500,0.5549449863896105,0.766,0.7269477983375824,0.8009959046039771,0.5795591926639163,0.5565176493385697,0.600810584260409,0.03405216294853391
500,0.9,0.5,500,0.5549449863896105,0.986,0.9713865738597492,0.9932022969282127,0.6243845636873546,0.6070779094582842,0.6413268376231043,0.024057110503497316
500,0.9,0.8,500,0.5549449863896105,1.0,0.9923753814690964,0.9999999999999999,0.6944687257645308,0.6774378444080543,0.7093675324271296,0.019235868593702465
500,1.0,0.0,500,0.5499804168706476,0.05,0.03409350665098192,0.07276865002683111,0.4948357566028497,0.4765698674527219,0.5135103848523042,0.05404616988997043
500,1.0,0.2,500,0.5499804168706476,0.342,0.3017647943001571,0.3846445851556084,0.5345848114756088,0.5034386456065906,0.5588735852910828,0.04840192620858764
500,1.0,0.35,500,0.5499804168706476,0.814,0.7775451944568551,0.8456665451057376,0.5806336215069823,0.5577156264414109,0.6002480018783899,0.0330346569592069
500,1.0,0.5,500,0.5499804168706476,0.986,0.9713865738597492,0.9932022969282127,0.6267527507547468,0.6053998161764707,0.6457431975893966,0.023909992362563626
500,1.0,0.8,500,0.5499804168706476,1.0,0.9923753814690964,0.9999999999999999,0.6983481042443246,0.6831675151373185,0.7140292183351825,0.01879630165168959
