n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260811,0.4656084656084656,0.7222222222222222,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.45402298850574707,0.8477011494252874,1.0,1.0,7,0.7073170731707317
41,1.0,0.0,20260811,0.23636363636363633,0.7242424242424242,0.1,0.0,9,0.7317073170731707
41,1.0,0.0,20260811,0.5406698564593302,0.7799043062200957,0.1,0.5,4,0.5365853658536586
41,1.0,0.0,20260811,0.41282051282051285,0.6615384615384615,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.16,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.2462121212121212,0.7102272727272727,0.1,0.5,1,0.8048780487804879
41,1.0,0.0,20260811,0.4236111111111111,0.6736111111111112,0.01,0.0,9,0.7804878048780488
41,1.0,0.0,20260811,0.37254901960784315,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.4788359788359789,0.7275132275132274,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.3492063492063492,0.7619047619047619,1.0,1.0,6,0.6585365853658537
41,1.0,0.0,20260811,0.4330143540669856,0.6602870813397129,0.01,0.0,9,0.4634146341463415
41,1.0,0.0,20260811,0.3439153439153439,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.7196969696969697,0.9166666666666667,1.0,1.0,4,0.8048780487804879
41,1.0,0.0,20260811,0.41500000000000004,0.7625,1.0,0.5,6,0.6097560975609756
41,1.0,0.0,20260811,0.05219780219780219,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.35714285714285715,0.6587301587301587,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.1594202898550725,0.6376811594202898,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.20256410256410257,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.4862637362637362,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.4275,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260811,0.46551724137931033,0.7701149425287356,1.0,0.5,5,0.7073170731707317
41,1.0,0.0,20260811,0.6125,0.8674999999999999,1.0,0.5,8,0.6097560975609756
41,1.0,0.0,20260811,0.3873626373626374,0.6401098901098901,1.0,1.0,2,0.6829268292682927
41,1.0,0.0,20260811,0.5743589743589743,0.8923076923076922,1.0,0.5,7,0.6341463414634146
41,1.0,0.0,20260811,0.5125000000000001,0.7375,0.1,0.5,1,0.6097560975609756
41,1.0,0.0,20260811,0.6285714285714286,0.8809523809523809,1.0,0.5,8,0.4878048780487805
41,1.0,0.0,20260811,0.3333333333333333,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260811,0.3725,0.6425000000000001,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260811,0.4025641025641026,0.6564102564102564,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.48275862068965514,0.728448275862069,0.1,0.5,1,0.7073170731707317
41,1.0,0.0,20260811,0.4057971014492754,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260811,0.3384615384615385,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.44976076555023925,0.8253588516746412,1.0,1.0,6,0.5365853658536586
