n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260711,0.33210784313725494,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260711,0.4832535885167464,0.6196172248803828,0.01,0.0,9,0.5365853658536586
41,1.0,0.0,20260711,0.43499999999999994,0.655,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.4335748792270531,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.47115384615384615,0.7664835164835164,1.0,1.0,4,0.6829268292682927
41,1.0,0.0,20260711,0.48489010989010983,0.7802197802197802,1.0,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.4862637362637362,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.6662679425837321,0.7655502392344499,0.1,0.5,1,0.5365853658536586
41,1.0,0.0,20260711,0.48897058823529416,0.8063725490196079,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.6183574879227053,0.8309178743961353,1.0,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.3675,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260711,0.6893939393939394,0.8424242424242424,1.0,1.0,5,0.7317073170731707
41,1.0,0.0,20260711,0.38875,0.65,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.46859903381642515,0.7028985507246376,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.3248792270531401,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.53,0.6825,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.40384615384615385,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.4509569377990431,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.5698529411764706,0.7058823529411764,0.1,0.5,1,0.5853658536585366
41,1.0,0.0,20260711,0.4766483516483516,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.44780219780219777,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.4775,0.665,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5666666666666667,0.9025641025641026,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.467032967032967,0.7857142857142857,1.0,0.5,6,0.6829268292682927
41,1.0,0.0,20260711,0.47375,0.6900000000000001,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5196078431372549,0.7303921568627452,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.514367816091954,0.7097701149425288,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.36153846153846153,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.5269607843137255,0.678921568627451,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.4275,0.5,0.01,0.5,0,0.6097560975609756
41,1.0,0.0,20260711,0.4574175824175824,0.6593406593406593,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.59,0.85,1.0,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.5035885167464115,0.5,0.1,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.42727272727272736,0.7636363636363636,0.01,0.0,9,0.7317073170731707
41,1.0,0.0,20260711,0.5439560439560439,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.4038461538461538,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.4914215686274509,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260711,0.4755747126436782,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.3345588235294118,0.6544117647058824,0.01,0.0,9,0.5853658536585366
